City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,lospalos,-8.5186,127.0025,27.75,73,86,1.88,TL,1712108324
267,karwar,14.8,74.1333,24.8,73,0,1.13,IN,1712108324
268,georgetown,5.4112,100.3354,30.96,78,20,2.57,MY,1712108054
269,sikasso,10.9167,-7.0,34.33,23,100,1.85,ML,1712108326
270,juan de ayolas,-27.4,-56.9,22.85,81,0,3.71,PY,1712108326
271,mossel bay,-34.1831,22.146,16.38,85,46,1.13,ZA,1712108327
272,crespo,-32.0287,-60.3066,16.53,94,4,3.62,AR,1712108327
273,benejuzar,38.0799,-0.8285,13.91,83,0,0.89,ES,1712108328
274,cockburn town,21.4612,-71.1419,25.15,76,24,8.33,TC,1712108125
275,manta,-0.95,-80.7333,26.88,78,40,5.81,EC,1712108218
276,tolanaro,-25.0319,46.9987,23.04,83,75,3.09,MG,1712108330
277,ola,59.5833,151.2833,-2.08,58,0,3.46,RU,1712108258
278,portland,45.5234,-122.6762,23.99,33,75,5.14,US,1712108000
279,bac lieu,9.285,105.7244,29.99,59,87,4.9,VN,1712108332
280,santo antonio,-6.3106,-35.4789,25.36,91,33,1.34,BR,1712108222
281,scottburgh,-30.2867,30.7532,21.29,89,100,4.67,ZA,1712108333
282,kisesa,-3.0833,34.15,17.11,92,78,2.24,TZ,1712108334
283,chonchi,-42.6128,-73.8092,8.56,90,100,1.34,CL,1712108335
284,chul'man,56.8479,124.9104,-4.02,88,100,5.99,RU,1712108335
285,masterton,-40.9597,175.6575,18.39,47,8,3.65,NZ,1712108336
286,chilliwack,49.1747,-121.9443,15.23,75,100,5.81,CA,1712108338
287,conde,-7.2597,-34.9075,27.7,89,20,0.0,BR,1712108338
288,fada n'gourma,12.0622,0.3578,33.06,13,61,2.71,BF,1712108339
289,san julian,21.0167,-102.1667,21.2,24,97,5.65,MX,1712108340
290,kavieng,-2.5744,150.7967,29.69,72,95,5.13,PG,1712108340
291,talnakh,69.4865,88.3972,-11.11,95,100,5.73,RU,1712108317
292,stanthorpe,-28.6667,151.95,25.23,69,44,4.05,AU,1712108342
293,daru,-9.0763,143.2092,29.8,73,78,2.71,PG,1712108343
294,cody,44.5263,-109.0565,14.12,44,0,1.85,US,1712108314
295,ha'il,27.5219,41.6907,17.01,55,0,1.03,SA,1712108344
296,popondetta,-8.7537,148.2534,32.79,55,70,2.55,PG,1712108345
297,inarajan village,13.2736,144.7484,28.77,86,87,8.47,GU,1712108346
298,laguna,38.421,-121.4238,24.11,37,0,2.57,US,1712108347
299,dazhong,33.1997,120.4578,11.45,93,100,6.84,CN,1712108347
300,iskateley,67.6803,53.1512,-16.66,91,7,4.92,RU,1712108348
301,mutuali,-14.8706,37.0044,18.66,89,97,0.93,MZ,1712108349
302,forster,-32.1667,152.5167,25.16,47,81,3.48,AU,1712108349
303,lebu,-37.6167,-73.65,12.36,82,100,2.41,CL,1712108350
304,qaqortoq,60.7167,-46.0333,-8.93,77,6,2.17,GL,1712108351
305,colares,38.7992,-9.4469,15.42,97,14,2.68,PT,1712108351
306,xai-xai,-25.0519,33.6442,22.42,93,0,1.3,MZ,1712108353
307,kurumkan,54.3,110.3,-8.26,81,14,3.13,RU,1712108354
308,greymouth,-42.4667,171.2,15.4,78,100,2.23,NZ,1712108354
309,margate,51.3813,1.3862,9.94,93,100,3.13,GB,1712108174
310,amursk,50.2261,136.8994,0.55,77,58,1.72,RU,1712108356
311,mitu,1.1983,-70.1733,23.99,97,97,0.71,CO,1712108356
312,portrush,55.1959,-6.6493,6.82,92,100,4.98,GB,1712108357
313,dongcun,36.7767,121.1597,12.06,44,100,8.34,CN,1712108358
314,monki,53.405,22.7979,8.71,73,100,10.09,PL,1712108358
315,yukon,35.5067,-97.7625,12.78,57,0,4.12,US,1712108359
316,afaahiti,-17.75,-149.2833,30.93,77,85,8.09,PF,1712108360
317,midvagur,62.0511,-7.1939,0.46,64,75,1.54,FO,1712108360
318,beterou,9.1992,2.2586,27.81,74,71,2.75,BJ,1712108361
319,touros,-5.1989,-35.4608,26.86,87,64,3.65,BR,1712108362
320,sault ste. marie,46.5168,-84.3333,7.9,60,100,8.23,CA,1712108109
321,lobez,53.6392,15.6213,6.84,92,100,5.36,PL,1712108253
322,manokwari,-0.8667,134.0833,27.47,80,100,0.36,ID,1712108364
323,igrim,63.1906,64.4162,-4.33,81,98,4.41,RU,1712108364
324,mount pearl,47.5166,-52.7813,0.64,89,100,9.77,CA,1712108366
325,gamba,-2.65,10.0,26.26,90,100,2.04,GA,1712108367
326,klyuchi,52.2667,79.1667,0.86,91,93,3.02,RU,1712108367
327,gadzhiyevo,69.2551,33.3362,-19.72,100,79,3.23,RU,1712108368
328,kez,57.8979,53.7152,3.65,99,100,3.16,RU,1712108369
329,kayangel,8.0823,134.7173,27.86,81,44,10.51,PW,1712108369
330,zaozersk,69.4005,32.4476,-20.29,99,69,2.41,RU,1712108370
331,deori,21.45,82.6167,30.7,20,6,1.26,IN,1712108371
332,pakuranga,-36.8833,174.9167,23.47,62,75,2.57,NZ,1712108371
333,puerto baquerizo moreno,-0.9,-89.6,24.67,85,99,3.86,EC,1712108372
334,waddan,29.1614,16.139,19.97,37,49,1.11,LY,1712108373
335,nagqu,31.5,92.0,2.03,24,87,5.22,CN,1712108373
336,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,45,40,3.0,RU,1712108374
337,polyarnyy,69.1989,33.4478,-18.86,100,79,3.35,RU,1712108375
338,kerikeri,-35.2268,173.9474,21.99,51,12,3.43,NZ,1712108264
339,wanning,18.8003,110.3967,29.04,72,17,6.99,CN,1712108376
340,holmsund,63.706,20.3641,-8.03,57,0,6.17,SE,1712108377
341,ixtapa,20.7,-105.2,23.57,73,40,4.12,MX,1712108377
342,montego bay,18.4712,-77.9188,27.89,74,20,2.06,JM,1712108325
343,skelleftea,64.7507,20.9528,-8.8,62,100,3.6,SE,1712108379
344,boa esperanca,-21.09,-45.5658,18.16,90,38,0.63,BR,1712108379
345,sabha,27.0377,14.4283,21.66,18,8,3.75,LY,1712108380
346,bubaque,11.2833,-15.8333,24.41,73,9,5.83,GW,1712108381
347,naze,28.3667,129.4833,23.51,85,42,10.19,JP,1712108381
348,walvis bay,-22.9575,14.5053,15.61,94,0,2.06,NA,1712108382
349,zemio,5.0314,25.1361,21.96,76,94,1.61,CF,1712108383
350,nova zagora,42.4833,26.0167,18.15,45,100,5.03,BG,1712108384
351,mbandaka,0.0487,18.2603,22.78,84,99,0.9,CD,1712108384
352,thinadhoo,0.5333,72.9333,28.89,72,46,1.82,MV,1712108385
353,puerto aysen,-45.4,-72.7,4.17,100,100,2.15,CL,1712108386
354,ji'an,27.1172,114.9793,23.26,88,100,1.07,CN,1712108386
355,makurazaki,31.2667,130.3167,20.08,95,100,9.45,JP,1712108387
356,cestos city,5.46,-9.5828,27.34,88,100,2.84,LR,1712108388
